asv_id	System
ASV_1	Lagoon
ASV_2	Lagoon
ASV_5	Lagoon
ASV_7	Lagoon
ASV_8	Lagoon
ASV_9	Lagoon
ASV_10	Lagoon
ASV_11	Lagoon
ASV_13	Lagoon
ASV_15	Lagoon
ASV_16	Lagoon
ASV_17	Lagoon
ASV_18	Lagoon
ASV_20	Lagoon
ASV_22	Lagoon
ASV_24	Lagoon
ASV_25	Lagoon
ASV_26	Lagoon
ASV_27	Lagoon
ASV_28	Lagoon
ASV_29	Lagoon
ASV_31	Lagoon
ASV_33	Lagoon
ASV_34	Lagoon
ASV_37	Lagoon
ASV_38	Lagoon
ASV_39	Lagoon
ASV_40	Lagoon
ASV_43	Lagoon
ASV_48	Lagoon
ASV_49	Lagoon
ASV_53	Lagoon
ASV_55	Lagoon
ASV_57	Lagoon
ASV_59	Lagoon
ASV_62	Lagoon
ASV_63	Lagoon
ASV_71	Lagoon
ASV_73	Lagoon
ASV_74	Lagoon
ASV_75	Lagoon
ASV_76	Lagoon
ASV_78	Lagoon
ASV_80	Lagoon
ASV_84	Lagoon
ASV_85	Lagoon
ASV_86	Lagoon
ASV_87	Lagoon
ASV_92	Lagoon
ASV_94	Lagoon
ASV_96	Lagoon
ASV_97	Lagoon
ASV_109	Lagoon
ASV_112	Lagoon
ASV_114	Lagoon
ASV_120	Lagoon
ASV_124	Lagoon
ASV_127	Lagoon
ASV_133	Lagoon
ASV_135	Lagoon
ASV_137	Lagoon
ASV_138	Lagoon
ASV_140	Lagoon
ASV_141	Lagoon
ASV_143	Lagoon
ASV_144	Lagoon
ASV_148	Lagoon
ASV_154	Lagoon
ASV_155	Lagoon
ASV_156	Lagoon
ASV_164	Lagoon
ASV_173	Lagoon
ASV_179	Lagoon
ASV_185	Lagoon
ASV_188	Lagoon
ASV_199	Lagoon
ASV_210	Lagoon
ASV_211	Lagoon
ASV_212	Lagoon
ASV_227	Lagoon
ASV_234	Lagoon
ASV_273	Lagoon
ASV_274	Lagoon
ASV_282	Lagoon
ASV_283	Lagoon
ASV_284	Lagoon
ASV_285	Lagoon
ASV_294	Lagoon
ASV_295	Lagoon
ASV_296	Lagoon
ASV_312	Lagoon
ASV_313	Lagoon
ASV_332	Lagoon
ASV_333	Lagoon
ASV_346	Lagoon
ASV_347	Lagoon
ASV_348	Lagoon
ASV_349	Lagoon
ASV_361	Lagoon
ASV_362	Lagoon
ASV_363	Lagoon
ASV_364	Lagoon
ASV_365	Lagoon
ASV_366	Lagoon
ASV_386	Lagoon
ASV_387	Lagoon
ASV_388	Lagoon
ASV_389	Lagoon
ASV_409	Lagoon
ASV_410	Lagoon
ASV_411	Lagoon
ASV_412	Lagoon
ASV_439	Lagoon
ASV_440	Lagoon
ASV_441	Lagoon
ASV_442	Lagoon
ASV_466	Lagoon
ASV_467	Lagoon
ASV_498	Lagoon
ASV_499	Lagoon
ASV_500	Lagoon
ASV_501	Lagoon
ASV_562	Lagoon
ASV_563	Lagoon
ASV_564	Lagoon
ASV_565	Lagoon
ASV_566	Lagoon
ASV_567	Lagoon
ASV_618	Lagoon
ASV_665	Lagoon
ASV_666	Lagoon
ASV_667	Lagoon
ASV_725	Lagoon
ASV_726	Lagoon
ASV_792	Lagoon
ASV_793	Lagoon
ASV_861	Lagoon
ASV_918	Lagoon
ASV_1	Stream
ASV_2	Stream
ASV_3	Stream
ASV_4	Stream
ASV_5	Stream
ASV_6	Stream
ASV_11	Stream
ASV_12	Stream
ASV_13	Stream
ASV_14	Stream
ASV_15	Stream
ASV_19	Stream
ASV_23	Stream
ASV_24	Stream
ASV_26	Stream
ASV_27	Stream
ASV_28	Stream
ASV_29	Stream
ASV_30	Stream
ASV_31	Stream
ASV_32	Stream
ASV_36	Stream
ASV_37	Stream
ASV_38	Stream
ASV_39	Stream
ASV_40	Stream
ASV_41	Stream
ASV_42	Stream
ASV_44	Stream
ASV_45	Stream
ASV_47	Stream
ASV_49	Stream
ASV_52	Stream
ASV_54	Stream
ASV_61	Stream
ASV_64	Stream
ASV_65	Stream
ASV_69	Stream
ASV_74	Stream
ASV_78	Stream
ASV_84	Stream
ASV_86	Stream
ASV_88	Stream
ASV_90	Stream
ASV_91	Stream
ASV_94	Stream
ASV_95	Stream
ASV_99	Stream
ASV_102	Stream
ASV_103	Stream
ASV_112	Stream
ASV_114	Stream
ASV_115	Stream
ASV_119	Stream
ASV_121	Stream
ASV_122	Stream
ASV_124	Stream
ASV_125	Stream
ASV_130	Stream
ASV_131	Stream
ASV_132	Stream
ASV_136	Stream
ASV_137	Stream
ASV_138	Stream
ASV_142	Stream
ASV_145	Stream
ASV_146	Stream
ASV_149	Stream
ASV_150	Stream
ASV_156	Stream
ASV_157	Stream
ASV_158	Stream
ASV_159	Stream
ASV_165	Stream
ASV_166	Stream
ASV_167	Stream
ASV_170	Stream
ASV_174	Stream
ASV_180	Stream
ASV_188	Stream
ASV_189	Stream
ASV_190	Stream
ASV_191	Stream
ASV_199	Stream
ASV_202	Stream
ASV_203	Stream
ASV_212	Stream
ASV_213	Stream
ASV_214	Stream
ASV_215	Stream
ASV_219	Stream
